Year,Revenue
2009.0,121.47
2010.0,597.46
2011.0,1140.1
2012.0,1281.27
2013.0,873.27
2014.0,690.41
2015.0,764.72
2016.0,741.42
2017.0,861.39
2018.0,907.21
2019.0,1321.66
2020.0,1974.8
2021.0,2801.0
