Year,Revenue
2010.0,66.8
2011.0,74.03
2012.0,108.18
2013.0,105.61
2014.0,223.15
2015.0,249.9
2016.0,200.58
2017.0,286.8
2018.0,366.6
2019.0,411.4
2020.0,540.5
